Rank,Name,Year,Rating
1, The Shawshank Redemption,1994,9.3 (2.9M)
2, The Godfather,1972,9.2 (2M)
3, The Dark Knight,2008,9.0 (2.9M)
4, The Godfather: Part II,1974,9.0 (1.4M)
5, 12 Angry Men,1957,9.0 (878K)
6, Schindler's List,1993,9.0 (1.5M)
7, The Lord of the Rings: The Return of the King,2003,9.0 (2M)
8, Pulp Fiction,1994,8.9 (2.2M)
9, The Lord of the Rings: The Fellowship of the Ring,2001,8.9 (2M)
10," Il Buono, Il Brutto, Il Cattivo",1966,8.8 (820K)
11, Forrest Gump,1994,8.8 (2.3M)
12, The Lord of the Rings: The Two Towers,2002,8.8 (1.8M)
13, Fight Club,1999,8.8 (2.4M)
14, Inception,2010,8.8 (2.6M)
15, Star Wars: Episode V - The Empire Strikes Back,1980,8.7 (1.4M)
16, The Matrix,1999,8.7 (2.1M)
17, GoodFellas,1990,8.7 (1.3M)
18, One Flew Over the Cuckoo's Nest,1975,8.7 (1.1M)
19, Interstellar,2014,8.7 (2.1M)
20, Se7en,1995,8.6 (1.8M)
21, It's a Wonderful Life,1946,8.6 (503K)
22, Shichinin No Samurai,1954,8.6 (370K)
23, The Silence of the Lambs,1991,8.6 (1.6M)
24, Saving Private Ryan,1998,8.6 (1.5M)
25, City of God,2002,8.6 (809K)
